Date,Open,High,Low,Close,Volume
2019-03-08,27.25,28.08,26.92,27.32,12124152
2019-03-11,27.7,28.17,27.03,27.65,22961617
2019-03-12,25.99,26.77,25.91,26.23,14929479
2019-03-13,26.21,27.07,26.49,26.53,20373910
2019-03-14,26.38,26.91,26.07,26.27,35436605
2019-03-15,25.78,26.2,25.07,25.78,24625745
2019-03-18,26.46,26.42,25.96,26.3,15349280
2019-03-19,26.98,27.66,26.81,27.17,11347470
2019-03-20,28.05,28.25,27.63,27.98,4086605
2019-03-21,27.58,27.62,26.49,27.32,13467737
2019-03-22,27.17,27.65,26.35,27.11,12447044
2019-03-25,27.47,28.12,26.54,27.43,17808440
2019-03-26,28.29,28.72,27.9,28.29,13565595
2019-03-27,27.71,28.42,27.45,27.93,12482116
2019-03-28,28.01,28.62,27.75,27.83,6018210
2019-03-29,26.86,27.4,26.22,26.94,9156880
2019-04-01,26.08,26.95,25.87,26.02,18593554
2019-04-02,26.5,27.23,26.26,26.7,34551233
2019-04-03,27.68,27.87,27.67,27.85,13953449
2019-04-04,28.04,28.42,27.55,27.84,17260056
2019-04-05,28.68,29.25,28.49,28.73,23587773
2019-04-08,29.31,29.83,28.8,29.1,9767323
2019-04-09,28.57,29.16,28.27,28.58,17599957
2019-04-10,28.68,29.35,28.64,28.94,10117275
2019-04-11,30.48,30.5,29.68,30.34,22576322
2019-04-12,30.27,30.77,30.18,30.36,15802860
2019-04-15,31.96,32.11,31.32,31.85,17008536
2019-04-16,29.39,29.69,28.66,29.39,9906490
2019-04-17,29.94,30.76,29.84,30.17,20863591
2019-04-18,30.33,31.16,30.02,30.3,41547855
2019-04-19,30.41,30.63,29.69,30.08,8851027
2019-04-22,30.29,30.38,29.48,30.22,12361785
2019-04-23,28.45,28.99,27.99,28.46,16449468
2019-04-24,28.47,29.02,28.02,28.32,21708253
2019-04-25,28.71,28.97,28.14,28.68,11075287
2019-04-26,30.04,30.43,29.82,30.01,3553646
2019-04-29,29.43,30.04,28.99,29.59,28907011
2019-04-30,28.96,29.17,28.39,28.92,21428943
2019-05-01,28.68,29.11,28.18,28.53,6128902
2019-05-02,29.25,29.79,29.13,29.38,10812523
2019-05-03,29.93,30.27,29.48,29.72,32091161
2019-05-06,29.28,29.53,28.73,29.3,30216485
2019-05-07,29.67,30.15,29.06,29.8,23425131
2019-05-08,30.09,30.57,29.65,29.94,13415801
2019-05-09,30.83,31.25,30.3,30.87,15271420
2019-05-10,30.39,31.15,30.22,30.27,13722358
2019-05-13,29.98,30.38,29.72,30.03,25754499
2019-05-14,29.72,30.23,29.29,29.73,9455231
2019-05-15,28.53,29.1,28.24,28.46,9792233
2019-05-16,28.81,28.87,28.55,28.77,24279363
2019-05-17,28.76,29.07,28.77,29.05,14329333
2019-05-20,28.94,29.19,28.6,29.1,29186991
2019-05-21,29.08,29.68,28.56,28.95,10472296
2019-05-22,27.74,28.06,27.68,27.76,14254893
2019-05-23,27.39,28.43,27.41,27.46,9237607
2019-05-24,27.04,27.51,26.95,27.22,14704753
2019-05-27,26.47,27.05,26.12,26.61,6995142
2019-05-28,26.26,27.25,26.34,26.53,11480761
2019-05-29,26.89,27.74,26.61,26.9,7144640
2019-05-30,28.4,29.38,28.18,28.48,20727287
2019-05-31,28.55,29.39,27.94,28.68,20963526
2019-06-03,28.95,29.63,28.61,28.96,6167897
2019-06-04,29.0,29.52,28.42,28.95,28543587
2019-06-05,27.6,27.9,26.88,27.32,51069987
2019-06-06,27.14,27.63,27.29,27.34,14991638
2019-06-07,27.6,27.68,26.86,27.44,10632680
2019-06-10,29.68,29.98,29.04,29.54,60138770
2019-06-11,29.3,29.82,28.86,29.42,7576150
2019-06-12,29.77,30.08,28.36,29.74,14798749
2019-06-13,29.69,30.37,29.71,29.76,16027413
2019-06-14,28.79,29.41,27.93,28.76,28704768
2019-06-17,30.03,30.28,29.43,29.81,17537806
2019-06-18,30.63,31.36,30.01,30.54,11417788
2019-06-19,31.4,31.51,30.86,31.32,9105669
2019-06-20,30.45,30.93,30.16,30.52,12349042
2019-06-21,31.63,32.16,31.53,31.87,8855385
2019-06-24,30.54,30.57,30.03,30.57,15005279
2019-06-25,31.36,31.62,31.08,31.17,11049568
2019-06-26,33.04,33.76,32.59,33.29,6941171
2019-06-27,32.18,33.23,31.97,32.35,27441661
2019-06-28,31.88,32.49,31.67,31.86,11423277
2019-07-01,31.85,32.23,31.64,32.01,7771172
2019-07-02,31.45,32.52,30.79,31.58,13468584
2019-07-03,30.09,30.9,29.83,30.15,15160225
2019-07-04,30.06,30.87,29.73,30.27,6118127
2019-07-05,29.21,29.74,29.08,29.35,17293198
2019-07-08,29.93,30.04,29.2,29.83,8679037
2019-07-09,28.86,29.4,28.45,29.05,34467051
2019-07-10,30.22,31.18,29.56,30.46,19038622
2019-07-11,29.7,30.69,29.39,29.8,11995594
2019-07-12,29.67,30.37,28.96,29.56,10093640
2019-07-15,30.31,30.68,29.86,30.34,13901622
2019-07-16,29.2,29.44,28.52,29.26,19903285
2019-07-17,29.52,29.99,29.24,29.52,14465151
2019-07-18,30.47,30.76,30.09,30.74,13143272
2019-07-19,29.37,29.81,28.9,29.3,15084603
2019-07-22,29.57,29.92,29.09,29.51,10832598
2019-07-23,29.74,30.13,29.33,29.8,12340499
2019-07-24,30.71,30.62,30.04,30.56,5163389
2019-07-25,29.3,30.03,29.05,29.47,23839707
2019-07-26,28.5,28.65,27.87,28.34,17011478
2019-07-29,28.86,29.0,28.04,28.84,9951880
2019-07-30,29.1,29.38,28.48,29.15,37858553
2019-07-31,29.42,29.86,28.78,29.42,15302216
2019-08-01,29.77,30.65,29.45,29.79,8726964
2019-08-02,29.4,30.05,29.0,29.23,22485218
2019-08-05,29.32,29.82,28.82,29.48,17876974
2019-08-06,29.68,30.1,29.14,29.8,17846000
2019-08-07,29.36,29.75,28.42,29.21,11841515
2019-08-08,30.81,31.12,30.59,30.91,18351976
2019-08-09,31.55,31.95,30.99,31.41,12853424
2019-08-12,30.59,30.97,30.27,30.33,19345506
2019-08-13,30.92,31.76,30.62,30.99,5652043
2019-08-14,30.23,30.56,29.44,30.13,11793549
2019-08-15,30.72,31.31,30.55,30.9,34659331
2019-08-16,32.16,32.29,31.39,32.04,9983719
2019-08-19,31.33,31.56,30.88,31.3,10832710
2019-08-20,32.34,32.69,31.7,32.27,11710768
2019-08-21,32.62,33.31,32.54,32.73,7981180
2019-08-22,33.32,34.35,33.07,33.6,4856650
2019-08-23,35.68,35.89,35.27,35.59,13055326
2019-08-26,35.02,36.34,34.91,35.39,15680519
2019-08-27,34.59,35.09,34.57,34.64,14271105
2019-08-28,33.93,34.27,32.94,33.77,13626959
2019-08-29,33.03,33.3,32.3,33.0,14969426
2019-08-30,33.3,33.13,32.36,32.98,24432401
2019-09-02,33.55,34.12,32.47,33.38,13319995
2019-09-03,33.61,34.42,33.47,33.72,10995082
2019-09-04,34.63,35.06,33.62,34.62,12729558
2019-09-05,34.69,35.24,33.92,34.7,19573230
2019-09-06,36.0,36.98,35.81,36.29,29680874
2019-09-09,35.89,36.15,35.19,36.06,10701860
2019-09-10,38.98,39.51,38.85,39.09,15393669
2019-09-11,39.49,40.75,39.56,39.9,17351312
2019-09-12,38.95,39.13,38.54,38.94,8919148
2019-09-13,37.7,38.4,37.34,37.75,14801048
2019-09-16,38.04,38.52,38.11,38.36,7040312
2019-09-17,38.25,38.89,37.23,38.17,6049431
2019-09-18,39.2,39.64,38.56,39.06,17599361
2019-09-19,39.74,39.78,38.99,39.69,12092096
2019-09-20,39.61,40.64,39.26,39.68,16210021
2019-09-23,38.85,39.09,38.72,38.73,14520216
2019-09-24,37.15,37.34,36.39,37.03,8991587
2019-09-25,36.65,37.2,36.58,36.59,14322937
2019-09-26,37.45,38.52,37.06,37.61,7908505
2019-09-27,37.97,38.18,37.76,37.92,29370055
2019-09-30,36.77,37.12,35.43,36.56,7437273
2019-10-01,36.7,37.49,35.99,36.81,13284484
2019-10-02,37.7,38.07,36.72,37.31,8700266
2019-10-03,36.28,36.97,35.46,36.38,19486073
2019-10-04,36.62,37.05,36.31,36.61,12413365
2019-10-07,36.62,37.05,36.03,36.74,11303993
2019-10-08,35.58,36.09,34.95,35.54,22445501
2019-10-09,35.67,36.22,35.37,35.98,14867903
2019-10-10,36.56,36.97,35.74,36.66,18969106
2019-10-11,37.72,38.63,37.13,37.93,8969468
2019-10-14,39.23,40.07,38.52,39.2,7257830
2019-10-15,37.83,37.79,37.57,37.64,15457486
2019-10-16,36.76,36.89,36.37,36.64,12491722
2019-10-17,36.83,38.02,36.75,37.27,20039529
2019-10-18,38.31,39.11,37.32,37.92,14076900
2019-10-21,38.64,39.16,38.35,38.58,16232690
2019-10-22,42.97,43.54,41.66,43.14,6506477
2019-10-23,44.0,44.56,42.77,43.96,37664119
2019-10-24,45.59,46.74,44.65,45.55,13495664
2019-10-25,46.79,47.41,46.22,46.95,20765291
2019-10-28,48.0,48.37,47.32,47.96,9645038
2019-10-29,47.44,48.11,47.23,47.58,17090015
2019-10-30,48.66,49.12,48.0,48.76,7637475
2019-10-31,47.54,48.47,46.89,47.71,18366408
2019-11-01,47.11,48.78,47.21,47.45,12261967
2019-11-04,46.87,47.66,46.01,46.84,14866118
2019-11-05,47.18,47.65,46.39,47.04,20769310
2019-11-06,50.55,51.05,50.4,50.42,7910723
2019-11-07,47.85,47.78,47.27,47.66,10404553
2019-11-08,48.81,49.81,48.16,48.73,18414742
2019-11-11,46.32,47.11,45.05,46.44,41829430
2019-11-12,46.06,46.49,44.97,45.86,13673344
2019-11-13,47.13,49.38,47.25,47.46,19688948
2019-11-14,47.42,48.46,46.73,47.63,13887702
2019-11-15,45.94,46.58,46.05,46.17,38691202
2019-11-18,45.49,45.77,44.18,45.25,6115818
2019-11-19,46.48,47.38,45.74,46.26,15360510
2019-11-20,45.43,46.04,44.68,45.32,6499449
2019-11-21,45.94,45.86,44.53,45.7,4183731
2019-11-22,45.64,46.87,45.63,45.84,17000121
2019-11-25,45.1,45.46,44.85,45.02,15709071
2019-11-26,47.99,49.46,47.53,48.02,12705957
2019-11-27,49.24,50.19,47.88,49.03,13893101
2019-11-28,46.09,46.64,45.98,46.11,68967760
2019-11-29,46.37,47.63,46.1,46.46,12876473
2019-12-02,45.73,46.32,45.09,45.61,18907366
2019-12-03,47.07,47.89,45.96,46.87,10588907
2019-12-04,45.67,46.69,44.7,45.83,16981180
2019-12-05,45.74,46.13,45.23,45.75,13005503
2019-12-06,46.28,46.99,45.98,46.53,11932075
2019-12-09,47.23,48.94,46.67,47.83,36377072
2019-12-10,46.23,46.75,46.18,46.18,26392553
2019-12-11,45.93,46.33,45.25,45.8,15687477
2019-12-12,45.28,45.55,44.47,45.22,4629197
2019-12-13,43.97,45.22,43.58,44.41,12231135
2019-12-16,46.77,48.33,46.35,46.86,56599673
2019-12-17,46.99,47.82,46.79,47.51,13054835
2019-12-18,46.1,46.48,45.56,45.79,25434289
2019-12-19,46.88,48.38,46.68,47.14,30128170
2019-12-20,50.56,50.97,49.31,50.25,16345806
2019-12-23,52.15,52.87,51.54,51.91,9617444
2019-12-24,49.39,49.94,48.85,49.62,4335484
2019-12-25,48.7,49.88,48.07,48.98,20626384
2019-12-26,51.03,51.63,50.32,50.94,9748480
2019-12-27,49.73,51.09,49.13,49.94,15999615
2019-12-30,50.73,51.94,50.33,50.7,7842669
2019-12-31,51.85,53.84,51.29,51.98,12831084
2020-01-01,50.17,51.61,49.61,50.62,14899817
2020-01-02,50.05,51.51,49.79,50.62,16756499
2020-01-03,45.8,46.5,45.27,45.74,8390317
2020-01-06,44.28,44.95,43.66,44.41,26654151
2020-01-07,44.03,44.93,43.24,44.15,10870384
2020-01-08,42.71,43.1,42.5,42.56,6342383
2020-01-09,45.0,45.47,43.65,44.74,13873460
2020-01-10,42.83,43.98,42.36,42.88,14904707
2020-01-13,42.32,42.69,41.61,42.39,15875613
2020-01-14,42.74,43.66,41.59,42.63,28949578
2020-01-15,44.27,45.71,44.39,44.57,13017114
2020-01-16,42.76,43.31,42.31,42.71,13800152
2020-01-17,44.41,44.38,43.73,44.29,8439282
2020-01-20,44.54,44.83,44.0,44.38,22082075
2020-01-21,42.73,44.24,41.9,43.15,16065015
2020-01-22,43.66,44.48,43.47,43.83,11875477
2020-01-23,43.97,44.48,43.7,44.17,5652806
2020-01-24,43.47,43.92,42.72,43.45,30165399
2020-01-27,43.72,44.56,43.38,43.61,7929971
2020-01-28,43.51,44.02,42.67,43.18,10900955
2020-01-29,43.3,43.98,42.65,43.41,17525582
2020-01-30,44.25,44.89,43.81,44.36,8054335
2020-01-31,46.83,47.12,45.9,46.56,6943004
2020-02-03,44.97,45.25,44.42,44.9,5065818
2020-02-04,48.18,49.22,47.74,47.88,21009777
2020-02-05,45.2,45.7,44.35,45.14,11155094
2020-02-06,44.75,46.13,43.71,45.01,63315140
2020-02-07,45.59,47.14,45.2,45.89,8911226
2020-02-10,46.01,47.43,45.59,46.37,9242051
2020-02-11,45.73,46.1,44.64,45.58,11042958
2020-02-12,45.64,46.2,45.15,45.37,16544550
2020-02-13,45.19,45.44,43.49,44.77,11581254
2020-02-14,44.24,44.4,43.32,44.06,19898722
2020-02-17,45.53,46.06,44.0,45.27,8981754
2020-02-18,45.7,46.09,45.42,45.84,7342604
2020-02-19,44.7,46.06,43.63,44.96,5961857
2020-02-20,46.46,46.78,45.28,46.26,4819655
2020-02-21,46.87,47.55,45.87,46.77,11307372
2020-02-24,48.03,48.84,47.2,48.01,12603811
2020-02-25,49.1,49.64,48.37,49.01,10684252
2020-02-26,47.94,48.81,46.69,47.87,27281050
2020-02-27,47.44,47.67,46.38,47.14,27072123
2020-02-28,48.6,49.35,48.25,48.29,12392456
2020-03-02,49.4,49.48,48.97,49.27,5974670
2020-03-03,49.53,50.11,48.66,49.32,11035715
2020-03-04,49.71,51.1,48.72,49.59,10854489
2020-03-05,51.47,51.95,50.84,51.59,10547849
2020-03-06,50.95,51.25,49.5,50.76,10335969
2020-03-09,51.33,52.68,51.66,51.69,10567233
2020-03-10,51.74,52.31,50.64,51.47,12075983
2020-03-11,50.91,52.13,51.2,51.22,10662350
2020-03-12,53.09,54.02,51.9,53.01,16259066
2020-03-13,54.2,55.52,53.66,54.43,17543329
2020-03-16,56.02,57.2,54.84,55.87,9292121
2020-03-17,58.16,59.24,57.7,58.17,27660961
2020-03-18,57.85,59.08,56.84,58.31,8975137
2020-03-19,59.75,60.83,58.23,59.62,6524661
2020-03-20,59.0,60.95,58.0,59.17,17723270
2020-03-23,60.12,60.69,59.02,59.85,9735562
2020-03-24,59.72,60.15,58.55,59.72,17203884
2020-03-25,60.12,61.44,59.45,60.01,4404625
2020-03-26,60.9,62.05,59.86,61.19,29391849
2020-03-27,59.61,59.93,58.1,59.79,20504331
2020-03-30,63.53,65.06,62.18,63.68,6918861
2020-03-31,62.12,62.52,61.29,61.85,6994337
2020-04-01,60.19,60.55,58.63,59.69,33805462
2020-04-02,61.64,62.98,61.6,61.89,10133020
2020-04-03,63.82,64.53,62.24,63.48,9654238
2020-04-06,64.09,66.13,63.59,64.79,4718369
2020-04-07,65.75,66.9,66.14,66.14,12293864
2020-04-08,65.92,67.5,65.86,66.23,13074053
2020-04-09,64.12,65.39,63.73,64.56,20952039
2020-04-10,64.31,66.17,64.0,64.82,7278685
2020-04-13,63.74,64.87,63.27,63.61,6850667
2020-04-14,65.53,66.09,64.41,65.6,18356261
2020-04-15,65.55,66.97,64.31,65.42,24236371
2020-04-16,64.13,64.59,63.05,63.91,6678632
2020-04-17,63.48,64.76,62.83,63.4,25159774
2020-04-20,64.52,65.46,62.8,64.3,14928324
2020-04-21,63.3,65.2,61.53,63.32,25289571
2020-04-22,61.49,62.68,61.17,61.86,14145255
2020-04-23,62.76,63.19,61.8,62.43,4151005
2020-04-24,62.82,63.94,61.81,63.0,13578745
2020-04-27,61.86,62.93,61.39,62.15,24892370
2020-04-28,61.32,62.69,60.52,61.37,9370968
2020-04-29,61.63,62.04,60.62,61.91,12067392
2020-04-30,59.19,59.7,59.3,59.31,13415660
2020-05-01,56.99,57.26,55.44,56.9,3437458
2020-05-04,55.86,57.02,54.89,55.76,33789943
2020-05-05,55.25,57.09,54.85,55.5,9335287
2020-05-06,55.98,56.92,55.32,56.12,18865920
2020-05-07,59.04,59.53,57.86,58.73,14029171
2020-05-08,60.5,61.29,60.28,60.35,27475617
2020-05-11,60.79,61.63,58.55,60.17,17948696
2020-05-12,60.6,60.7,59.32,60.24,13027041
2020-05-13,58.86,59.51,57.44,58.52,9372050
2020-05-14,58.19,59.93,57.27,58.6,21832829
2020-05-15,58.41,59.29,57.79,58.19,5741777
2020-05-18,58.84,59.83,57.75,58.86,20235422
2020-05-19,57.33,58.82,56.75,57.49,8456767
2020-05-20,58.55,58.89,57.22,58.5,27402418
2020-05-21,61.6,62.57,61.19,61.31,15881250
2020-05-22,61.38,61.82,60.35,61.22,20217555
2020-05-25,61.8,62.1,61.44,62.08,15263797
2020-05-26,63.72,64.69,62.31,63.48,6100073
2020-05-27,62.62,64.46,61.65,62.82,9526952
2020-05-28,63.43,64.24,62.77,63.36,20505314
2020-05-29,63.4,64.94,62.91,63.5,15923839
2020-06-01,63.73,65.58,62.9,63.8,26442812
2020-06-02,62.66,64.02,61.93,62.42,17923751
2020-06-03,62.26,64.34,61.22,62.58,9035294
2020-06-04,64.25,64.97,62.87,63.64,9840016
2020-06-05,65.94,67.58,65.99,66.54,15424360
2020-06-08,68.38,68.74,67.77,68.59,4606495
2020-06-09,73.31,74.13,72.69,73.18,33825345
2020-06-10,71.82,72.2,71.47,71.61,18271871
2020-06-11,73.59,76.01,73.25,73.63,27058650
2020-06-12,74.15,75.18,72.99,74.17,6647145
2020-06-15,79.37,80.48,77.18,79.21,27296869
2020-06-16,77.33,78.92,76.06,77.42,44711864
2020-06-17,76.12,76.75,74.82,75.59,7568919
2020-06-18,74.67,76.48,72.97,74.35,21546003
2020-06-19,70.02,70.41,68.92,69.71,14658852
2020-06-22,68.4,69.87,68.08,68.73,6768452
2020-06-23,67.25,67.88,66.88,67.27,18745082
2020-06-24,67.6,68.0,67.63,67.7,22226628
2020-06-25,68.17,69.21,67.71,68.52,10847408
2020-06-26,72.66,73.6,71.35,72.53,26244270
2020-06-29,74.54,75.61,73.68,74.74,6366868
2020-06-30,73.81,74.27,72.71,73.57,6938678
2020-07-01,71.32,71.97,71.17,71.7,15686306
2020-07-02,73.53,73.94,71.45,72.9,14837860
2020-07-03,69.81,70.33,69.81,70.12,10238987
2020-07-06,74.21,75.69,72.56,74.13,21961406
2020-07-07,77.21,78.11,76.37,76.9,19104742
2020-07-08,75.73,76.2,75.27,75.95,22500982
2020-07-09,72.46,73.06,71.92,72.15,13775907
2020-07-10,74.77,75.91,74.41,75.23,19801933
2020-07-13,75.65,76.43,73.4,75.11,11724307
2020-07-14,78.06,80.06,76.56,78.05,40910992
2020-07-15,74.21,74.43,72.73,74.43,9759259
2020-07-16,73.1,74.38,71.81,73.21,41977684
2020-07-17,73.65,74.36,72.9,73.36,14908528
2020-07-20,73.38,75.09,72.68,73.59,7364962
2020-07-21,72.45,73.94,72.08,72.72,29035787
2020-07-22,74.14,74.89,72.32,74.22,15602640
2020-07-23,71.53,72.85,71.57,71.96,22422198
2020-07-24,72.43,72.4,70.19,71.78,27015679
2020-07-27,71.96,73.87,70.57,72.16,17347826
2020-07-28,73.72,74.53,71.24,73.42,10895708
2020-07-29,75.21,77.4,74.25,75.13,23863405
2020-07-30,72.35,73.76,71.2,72.71,14656254
2020-07-31,69.46,70.11,67.15,69.46,20643868
2020-08-03,72.55,72.48,71.54,72.27,4990939
2020-08-04,73.06,73.17,72.93,73.13,18319760
2020-08-05,72.03,71.77,71.6,71.6,10646130
2020-08-06,75.47,76.38,73.53,75.09,33486563
2020-08-07,75.83,76.92,75.48,75.49,20006017
2020-08-10,78.13,78.5,77.37,78.31,16517465
2020-08-11,78.19,80.35,77.16,78.61,18683568
2020-08-12,83.39,84.58,82.27,83.65,8893040
2020-08-13,88.33,89.67,86.62,88.24,32987139
2020-08-14,87.97,90.18,86.26,87.73,39653318
2020-08-17,89.48,92.47,88.18,90.47,17831136
2020-08-18,92.39,93.58,91.71,92.39,32449700
2020-08-19,96.46,97.14,95.46,96.38,11022243
2020-08-20,93.61,93.95,92.92,93.74,9834854
2020-08-21,96.47,96.74,93.78,95.85,14953596
2020-08-24,99.3,100.41,96.89,99.09,18209800
2020-08-25,94.62,94.67,92.25,94.0,12031113
2020-08-26,90.71,92.07,88.58,90.8,19170517
2020-08-27,85.77,86.7,84.89,85.37,17076174
2020-08-28,85.52,85.94,82.42,84.82,8893636
2020-08-31,87.39,87.67,84.46,86.82,18989495
2020-09-01,90.42,92.4,89.02,90.92,22561695
2020-09-02,91.17,92.97,88.61,91.28,15962210
2020-09-03,95.77,96.54,95.77,95.94,26070736
2020-09-04,92.33,94.53,91.11,92.11,7970821
2020-09-07,87.83,88.77,86.73,87.53,18512841
2020-09-08,87.17,88.86,85.72,87.54,8160856
2020-09-09,88.74,90.54,88.12,88.71,8393425
2020-09-10,87.88,90.28,86.91,88.78,10686956
2020-09-11,83.99,85.28,81.22,83.39,9147305
2020-09-14,83.1,84.75,81.6,83.31,11139435
2020-09-15,80.2,80.99,78.79,80.18,13163058
2020-09-16,81.82,83.41,81.36,81.94,22266129
2020-09-17,83.47,83.48,82.31,83.0,12477286
2020-09-18,79.64,82.07,78.77,80.79,6630475
2020-09-21,79.67,80.85,77.98,79.68,25907263
2020-09-22,77.23,78.3,76.13,77.27,9640224
2020-09-23,77.08,78.34,76.36,77.26,14226824
2020-09-24,80.31,79.63,79.53,79.63,18315683
2020-09-25,77.05,78.22,76.9,77.4,16188395
2020-09-28,79.02,79.95,76.33,78.71,25319610
2020-09-29,77.73,78.86,77.22,77.59,18615433
2020-09-30,76.35,76.39,74.62,75.87,9524187
2020-10-01,75.51,77.66,74.01,75.76,43543939
2020-10-02,73.26,74.12,73.16,73.52,16145738
2020-10-05,72.82,74.07,71.23,72.42,13610197
2020-10-06,70.08,71.22,68.36,69.93,23723168
2020-10-07,73.64,74.94,73.09,74.21,16596883
2020-10-08,74.22,76.6,71.6,74.42,17887524
2020-10-09,73.12,73.38,72.86,72.98,50936585
2020-10-12,73.89,75.23,71.86,73.58,12767830
2020-10-13,73.21,75.15,72.46,73.46,12498504
2020-10-14,72.04,73.81,71.56,73.1,15530078
2020-10-15,74.79,76.54,73.21,74.59,25034313
2020-10-16,75.97,77.43,75.74,76.43,6897937
2020-10-19,74.58,76.65,74.08,75.34,5483324
2020-10-20,73.12,75.43,74.16,74.17,10923667
2020-10-21,73.98,74.71,72.22,73.68,6472276
2020-10-22,68.73,70.16,67.49,68.69,11846989
2020-10-23,65.59,67.06,64.34,65.66,18835422
2020-10-26,68.97,68.56,66.89,68.49,9385021
2020-10-27,72.25,73.85,70.73,72.02,7178397
2020-10-28,72.19,71.73,70.45,71.61,15167546
2020-10-29,72.48,74.68,72.4,72.98,22550588
2020-10-30,73.79,75.57,73.12,73.8,6277694
2020-11-02,80.15,81.31,78.83,80.8,22078529
2020-11-03,83.59,84.66,81.47,83.68,22046250
2020-11-04,83.41,84.02,82.42,83.51,23606733
2020-11-05,81.5,82.33,80.0,81.25,26943162
2020-11-06,77.46,78.42,76.84,77.44,44057535
2020-11-09,78.3,79.72,76.16,78.06,12261244
2020-11-10,76.68,78.36,74.86,76.41,15475764
2020-11-11,74.05,75.18,71.03,73.26,11896809
2020-11-12,71.85,72.72,71.39,71.96,14665207
2020-11-13,69.41,70.67,68.9,69.74,31529578
2020-11-16,73.51,73.53,72.18,73.42,7478125
2020-11-17,75.21,76.15,73.98,75.51,9525425
2020-11-18,76.19,77.34,74.62,75.62,29168224
2020-11-19,79.03,81.35,78.51,79.14,24398159
2020-11-20,79.25,79.88,77.72,79.47,12218163
2020-11-23,77.36,78.34,75.93,77.54,22458977
2020-11-24,81.54,82.45,80.63,81.25,17376128
2020-11-25,82.66,84.15,80.58,82.72,31019832
2020-11-26,80.02,80.96,78.32,80.27,15206823
2020-11-27,80.62,81.43,78.67,79.96,24466516
2020-11-30,77.65,78.86,76.76,77.98,54899014
2020-12-01,74.87,75.97,73.41,74.86,19757615
2020-12-02,77.34,78.58,76.47,77.09,15016558
2020-12-03,81.01,82.91,80.43,81.68,21025015
2020-12-04,78.56,79.27,78.2,78.37,12205040
2020-12-07,79.42,80.97,78.09,79.85,48350341
2020-12-08,78.74,79.54,78.22,78.42,16031009
2020-12-09,77.03,78.33,75.31,77.4,12781806
2020-12-10,76.42,77.14,75.21,76.15,9646980
2020-12-11,74.71,76.36,73.31,74.3,25358133
2020-12-14,74.86,75.99,73.8,74.54,22603011
2020-12-15,72.89,73.72,71.88,72.8,11425095
2020-12-16,73.44,75.04,71.59,73.53,19544914
2020-12-17,73.33,74.45,73.19,73.55,6890967
2020-12-18,73.68,74.93,71.3,73.15,16070330
2020-12-21,71.02,72.55,70.01,71.27,18372732
2020-12-22,69.79,71.15,69.78,70.15,34403363
2020-12-23,72.12,73.22,71.42,71.88,9965010
2020-12-24,72.81,73.28,71.02,73.1,7731579
